reading_id,shipment_id,reading_timestamp,sensor_temperature,sensor_id
T000001,SHP00001,2024-12-29 09:24:19,0.5,SEN128
T000002,SHP00001,2024-12-28 17:48:22,0.2,SEN159
T000003,SHP00001,2024-12-28 16:47:19,0.7,SEN120
T000004,SHP00001,2024-12-29 08:22:19,1.9,SEN154
T000005,SHP00001,2024-12-29 16:57:34,3.9,SEN178
T000006,SHP00001,2024-12-29 16:47:49,2.1,SEN172
T000007,SHP00002,2024-08-30 13:31:16,1.4,SEN184
T000008,SHP00002,2024-08-30 15:51:34,1.2,SEN133
T000009,SHP00002,2024-08-30 14:01:25,11.5,SEN128
T000010,SHP00002,2024-08-30 03:30:13,1.0,SEN139
T000011,SHP00003,2024-07-26 04:58:01,3.1,SEN131
T000012,SHP00003,2024-07-26 09:52:22,5.9,SEN133
T000013,SHP00003,2024-07-25 10:52:04,2.9,SEN134
T000014,SHP00003,2024-07-26 01:14:22,6.1,SEN186
T000015,SHP00003,2024-07-25 08:13:27,9.6,SEN128
T000016,SHP00003,2024-07-25 20:09:58,2.7,SEN177
T000017,SHP00004,2024-10-09 03:37:47,2.9,SEN168
T000018,SHP00004,2024-10-09 03:57:59,5.5,SEN134
T000019,SHP00004,2024-10-09 22:25:56,2.6,SEN197
T000020,SHP00004,2024-10-09 09:10:51,2.5,SEN114
T000021,SHP00004,2024-10-08 22:59:19,12.1,SEN138
T000022,SHP00005,2024-07-14 10:04:05,1.1,SEN152
T000023,SHP00005,2024-07-14 04:06:32,1.9,SEN199
T000024,SHP00005,2024-07-13 02:03:34,1.0,SEN135
T000025,SHP00005,2024-07-13 18:18:43,3.4,SEN108
T000026,SHP00005,2024-07-14 03:11:43,2.4,SEN103
T000027,SHP00005,2024-07-13 17:04:37,2.9,SEN117
T000028,SHP00006,2024-10-04 15:59:57,3.7,SEN150
T000029,SHP00006,2024-10-05 04:33:19,8.2,SEN124
T000030,SHP00007,2024-02-05 16:17:59,2.5,SEN100
T000031,SHP00007,2024-02-05 14:41:45,1.7,SEN173
T000032,SHP00007,2024-02-04 12:31:56,3.8,SEN146
T000033,SHP00007,2024-02-05 09:23:47,0.8,SEN150
T000034,SHP00008,2024-05-14 20:51:30,8.3,SEN170
T000035,SHP00008,2024-05-13 14:14:16,11.5,SEN123
T000036,SHP00008,2024-05-14 20:46:25,9.6,SEN194
T000037,SHP00008,2024-05-13 09:21:19,11.4,SEN158
T000038,SHP00008,2024-05-13 09:58:47,9.1,SEN113
T000039,SHP00009,2024-02-08 10:16:54,2.7,SEN153
T000040,SHP00009,2024-02-08 14:26:52,2.8,SEN150
T000041,SHP00010,2024-12-01 13:59:25,4.3,SEN183
T000042,SHP00010,2024-11-30 06:45:42,2.8,SEN135
T000043,SHP00010,2024-11-30 02:24:21,2.3,SEN183
T000044,SHP00010,2024-11-30 23:23:24,2.7,SEN136
T000045,SHP00010,2024-12-01 23:41:24,1.1,SEN138
T000046,SHP00010,2024-11-30 07:26:52,1.3,SEN168
T000048,SHP00011,2024-11-05 18:45:37,1.1,SEN123
T000049,SHP00011,2024-11-06 17:51:45,1.3,SEN197
T000050,SHP00011,2024-11-06 00:58:30,0.8,SEN119
T000051,SHP00012,2024-01-02 00:46:46,15.1,SEN142
T000052,SHP00012,2024-01-02 10:20:42,15.0,SEN101
T000053,SHP00012,2024-01-02 12:10:28,13.4,SEN159
T000054,SHP00012,2024-01-02 05:53:49,14.5,SEN154
T000055,SHP00012,2024-01-03 15:09:27,17.9,SEN156
T000056,SHP00012,2024-01-02 22:57:45,16.1,SEN178
T000057,SHP00013,2024-07-09 19:08:05,6.5,SEN107
T000058,SHP00013,2024-07-08 10:06:33,2.6,SEN110
T000060,SHP00013,2024-07-09 15:10:15,3.1,SEN121
T000061,SHP00014,2024-10-14 20:03:33,3.1,SEN116
T000062,SHP00014,2024-10-13 22:00:20,4.2,SEN174
T000063,SHP00014,2024-10-14 20:01:44,12.4,SEN102
T000064,SHP00015,2024-06-19 07:50:36,2.3,SEN116
T000065,SHP00015,2024-06-19 02:48:27,3.8,SEN192
T000066,SHP00016,2024-08-24 18:23:19,6.1,SEN159
T000067,SHP00016,2024-08-24 15:55:17,3.8,SEN160
T000068,SHP00016,2024-08-23 15:24:48,2.8,SEN133
T000069,SHP00016,2024-08-24 15:57:19,2.5,SEN123
T000070,SHP00016,2024-08-23 17:16:06,4.4,SEN169
T000071,SHP00017,2024-09-17 07:23:46,1.8,SEN186
T000072,SHP00017,2024-09-18 00:16:40,-0.6,SEN108
T000073,SHP00017,2024-09-17 01:55:29,-0.1,SEN174
T000074,SHP00018,2024-06-09 13:31:25,3.0,SEN132
T000075,SHP00018,2024-06-09 07:04:36,9.8,SEN131
T000076,SHP00018,2024-06-09 21:39:56,2.5,SEN198
T000079,SHP00019,2024-08-09 23:09:39,2.8,SEN170
T000080,SHP00020,2024-03-06 02:23:59,9.9,SEN109
T000081,SHP00020,2024-03-07 15:34:12,0.2,SEN137
T000082,SHP00020,2024-03-07 20:45:41,3.2,SEN176
T000083,SHP00020,2024-03-07 22:38:16,0.4,SEN179
T000084,SHP00020,2024-03-07 04:42:45,1.4,SEN194
T000085,SHP00021,2024-10-23 06:49:15,0.7,SEN163
T000087,SHP00022,2024-04-30 17:18:51,0.7,SEN137
T000088,SHP00022,2024-04-30 08:27:18,0.5,SEN186
T000089,SHP00022,2024-05-01 04:22:22,3.2,SEN182
T000090,SHP00022,2024-05-01 19:37:15,3.8,SEN194
T000091,SHP00022,2024-05-01 15:11:23,2.8,SEN125
T000093,SHP00023,2024-12-23 00:24:41,10.1,SEN174
T000094,SHP00023,2024-12-22 22:18:07,12.1,SEN121
T000095,SHP00023,2024-12-23 08:47:22,9.5,SEN198
T000096,SHP00023,2024-12-23 05:22:46,9.4,SEN140
T000097,SHP00024,2024-10-12 12:21:15,7.6,SEN189
T000098,SHP00024,2024-10-13 06:27:49,7.2,SEN126
T000099,SHP00024,2024-10-13 11:34:18,3.5,SEN153
T000100,SHP00025,2024-10-07 23:54:15,1.8,SEN140
T000101,SHP00025,2024-10-07 17:13:02,5.3,SEN119
T000102,SHP00025,2024-10-07 19:10:10,0.3,SEN169
T000103,SHP00026,2024-02-09 01:19:59,2.4,SEN147
T000104,SHP00026,2024-02-09 07:14:37,3.7,SEN136
