date,year,month,month_name,month_year,quarter,day,weekday
2024-01-01,2024,1,Jan,2024-01,1,1,Monday
2024-01-02,2024,1,Jan,2024-01,1,2,Tuesday
2024-01-03,2024,1,Jan,2024-01,1,3,Wednesday
2024-01-04,2024,1,Jan,2024-01,1,4,Thursday
2024-01-05,2024,1,Jan,2024-01,1,5,Friday
2024-01-06,2024,1,Jan,2024-01,1,6,Saturday
2024-01-07,2024,1,Jan,2024-01,1,7,Sunday
2024-01-08,2024,1,Jan,2024-01,1,8,Monday
2024-01-09,2024,1,Jan,2024-01,1,9,Tuesday
2024-01-10,2024,1,Jan,2024-01,1,10,Wednesday
2024-01-11,2024,1,Jan,2024-01,1,11,Thursday
2024-01-12,2024,1,Jan,2024-01,1,12,Friday
2024-01-13,2024,1,Jan,2024-01,1,13,Saturday
2024-01-14,2024,1,Jan,2024-01,1,14,Sunday
2024-01-15,2024,1,Jan,2024-01,1,15,Monday
2024-01-16,2024,1,Jan,2024-01,1,16,Tuesday
2024-01-17,2024,1,Jan,2024-01,1,17,Wednesday
2024-01-18,2024,1,Jan,2024-01,1,18,Thursday
2024-01-19,2024,1,Jan,2024-01,1,19,Friday
2024-01-20,2024,1,Jan,2024-01,1,20,Saturday
2024-01-21,2024,1,Jan,2024-01,1,21,Sunday
2024-01-22,2024,1,Jan,2024-01,1,22,Monday
2024-01-23,2024,1,Jan,2024-01,1,23,Tuesday
2024-01-24,2024,1,Jan,2024-01,1,24,Wednesday
2024-01-25,2024,1,Jan,2024-01,1,25,Thursday
2024-01-26,2024,1,Jan,2024-01,1,26,Friday
2024-01-27,2024,1,Jan,2024-01,1,27,Saturday
2024-01-28,2024,1,Jan,2024-01,1,28,Sunday
2024-01-29,2024,1,Jan,2024-01,1,29,Monday
2024-01-30,2024,1,Jan,2024-01,1,30,Tuesday
2024-01-31,2024,1,Jan,2024-01,1,31,Wednesday
2024-02-01,2024,2,Feb,2024-02,1,1,Thursday
2024-02-02,2024,2,Feb,2024-02,1,2,Friday
2024-02-03,2024,2,Feb,2024-02,1,3,Saturday
2024-02-04,2024,2,Feb,2024-02,1,4,Sunday
2024-02-05,2024,2,Feb,2024-02,1,5,Monday
2024-02-06,2024,2,Feb,2024-02,1,6,Tuesday
