shipment_id,product_id,supplier_id,route_id,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,transit_hours,quantity,unit_cost,recorded_temperature,required_temp_min,required_temp_max,deviation_c,temperature_excursion_flag,excursion_severity,excursion_duration_hours,delay_flag,delay_duration_hours,spoilage_risk_score,spoilage_risk_category,estimated_spoilage_qty,estimated_financial_loss
SHP00001,P008,S001,R003,2024-12-28,2025-01-02 12:14:26,2025-01-08 13:16:48,In Transit,173.3,200.0,19.33,10.6,0,4,6.6,1,Severe,0.0,1.0,145.03944444444446,5,Critical Risk,150,2899.5
SHP00002,P005,S010,R019,2024-08-30,2024-08-31 17:05:14,2024-08-31 15:06:00,In Transit,39.1,300.0,13.38,2.6,0,4,0.0,0,,9.8,0.0,0.0,2,Medium Risk,30,401.4
SHP00003,P002,S002,R002,2024-07-25,2024-07-26 00:47:33,2024-07-26 06:54:00,Delivered,30.9,150.0,6.75,3.1,2,4,0.0,0,,15.4,1.0,6.1075,4,High Risk,52,351.0
SHP00004,P003,S008,R026,2024-10-08,2024-10-10 23:41:11,2024-10-10 10:18:00,In Transit,58.3,200.0,18.91,2.4,2,6,0.0,0,,11.7,0.0,0.0,1,Medium Risk,20,378.2
SHP00005,P013,S001,R006,2024-07-13,2024-07-16 15:31:27,2024-07-17 13:16:48,Delivered,68.3,500.0,3.35,8.2,0,4,4.199999999999999,1,Mild,0.0,1.0,21.75583333333333,2,Medium Risk,50,167.5
SHP00006,P002,S010,R024,2024-10-04,2024-10-08 12:19:38,,Cancelled,90.8,150.0,6.75,3.8,2,4,0.0,0,,45.4,,,3,High Risk,52,351.0
SHP00007,P006,S002,R020,2024-02-04,2024-02-09 14:23:04,2024-02-11 12:36:00,In Transit,180.6,50.0,16.77,12.2,0,4,8.2,1,Severe,0.0,1.0,46.215555555555554,5,Critical Risk,37,620.49
SHP00008,P019,S009,R011,2024-05-13,2024-05-15 16:49:44,2024-05-15 09:06:00,Delivered,57.1,250.0,9.85,10.7,8,12,0.0,0,,0.0,0.0,0.0,0,Low Risk,0,0.0
SHP00009,P020,S010,R004,2024-02-07,2024-02-07 08:32:58,2024-02-07 10:00:00,Delivered,10.0,200.0,23.51,0.3,0,4,0.0,0,,0.0,1.0,1.4505555555555556,0,Low Risk,0,0.0
SHP00010,P018,S005,R020,2024-11-30,2024-12-06 02:02:51,2024-12-07 13:23:24,Delivered,164.9,150.0,16.44,10.9,0,4,6.9,1,Severe,27.5,1.0,35.3425,5,Critical Risk,112,1841.28
